KOD,MESTO,POCET HLASU,POCET OBALEK,PLATNE HLASY,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
565288,Karlova Ves,102,78,77,5,0,0,4,0,12,18,1,1,0,0,0,10,0,0,0,19,0,0,1,0,0,0,0,6,0
541877,Kněževes,800,447,445,42,0,0,44,0,13,42,9,7,2,0,0,22,2,0,9,169,0,1,8,0,5,3,1,65,1
565199,Kolešov,111,55,52,4,0,0,2,0,0,4,1,0,0,0,0,2,0,0,1,32,0,0,0,0,0,0,0,6,0
541893,Kolešovice,686,383,381,24,0,0,45,0,18,45,0,5,0,0,0,22,0,0,23,137,0,2,9,1,4,3,2,40,1
541907,Kounov,410,191,189,14,0,0,20,0,2,40,0,0,1,0,0,21,0,0,5,65,0,0,2,2,0,0,0,17,0
565385,Kozojedy,74,61,61,6,0,0,2,0,8,9,0,0,1,0,0,3,0,0,5,24,0,0,2,0,0,0,0,1,0
565351,Krakov,101,71,71,7,0,0,20,0,1,5,2,2,0,0,0,0,0,0,2,19,0,0,4,0,0,0,0,9,0
565369,Krakovec,56,33,33,6,0,0,4,0,1,3,0,0,2,0,0,1,0,0,2,11,0,0,0,0,0,0,0,2,1
541940,Kroučová,208,137,136,8,0,0,7,0,50,12,0,0,0,0,0,3,0,0,2,41,0,0,1,0,0,0,1,11,0
598500,Krty,106,70,70,6,0,0,2,0,1,11,1,0,2,0,0,7,0,1,7,27,0,0,1,0,0,0,0,4,0
541966,Krupá,376,194,194,9,1,0,8,0,11,25,3,2,2,0,0,13,0,1,7,84,0,0,5,0,1,0,0,22,0
541974,Krušovice,485,307,306,30,0,0,24,0,44,35,1,2,10,1,0,22,0,2,15,74,0,0,4,0,1,1,3,36,1
541982,Křivoklát,594,323,321,39,0,0,23,0,19,27,2,2,8,0,0,39,0,0,20,81,0,0,9,0,2,0,0,48,2
542008,Lašovice,105,61,61,4,1,0,4,0,3,11,2,2,2,0,0,1,0,0,3,20,0,0,1,0,0,0,1,6,0
542016,Lišany,549,336,331,18,0,0,42,0,15,43,3,1,4,0,0,37,0,1,9,89,0,0,7,0,1,2,2,56,1
542032,Lubná,754,468,467,54,2,0,36,0,24,59,6,3,3,0,0,54,0,0,19,137,0,2,2,0,2,1,1,62,0
542041,Lužná,1525,944,938,78,0,0,75,0,49,111,12,7,6,3,1,85,0,1,36,311,2,1,16,1,7,2,1,131,2
565377,Malinová,68,47,47,7,0,0,2,0,0,11,0,0,0,0,0,4,0,0,1,14,0,0,1,0,1,0,0,6,0
542067,Městečko,361,226,224,18,0,0,13,0,14,21,0,2,5,0,0,35,0,0,6,80,0,1,1,0,3,3,0,22,0
542075,Milostín,242,140,140,3,0,0,4,0,10,23,0,1,1,0,0,12,0,0,5,60,0,0,1,0,2,0,0,18,0
565466,Milý,149,98,96,5,0,0,2,0,4,3,0,1,5,0,1,12,0,0,10,39,0,1,6,0,1,0,0,6,0
542105,Mšec,703,434,432,47,0,1,30,0,36,23,2,2,5,0,0,53,0,0,21,158,0,1,6,0,0,1,1,45,0
542113,Mšecké Žehrovice,456,291,287,34,0,0,19,0,13,29,5,2,1,2,1,26,0,1,14,88,0,1,7,0,2,2,1,39,0
542121,Mutějovice,648,336,336,26,2,0,32,0,19,40,6,4,2,0,0,36,0,0,10,118,0,1,7,1,1,1,0,30,0
542130,Nesuchyně,324,186,186,15,0,0,26,0,13,20,1,2,0,0,0,18,0,0,11,50,0,0,0,0,0,0,0,29,1
598585,Nezabudice,69,48,50,9,0,0,2,0,2,10,0,0,0,0,0,8,0,0,6,12,0,0,0,0,0,0,0,1,0
542164,Nové Strašecí,4316,2696,2675,289,1,3,333,1,150,225,50,23,29,3,5,350,0,2,168,679,4,7,89,2,14,4,2,236,6
542181,Nový Dům,121,85,84,6,0,0,6,0,3,8,0,2,1,0,0,10,0,1,5,30,0,0,3,0,0,0,1,8,0
542199,Olešná,480,329,327,69,0,0,25,0,13,20,3,0,9,1,0,24,0,0,8,102,0,3,7,2,2,0,1,37,1
542202,Oráčov,435,319,315,18,0,0,19,0,8,34,5,1,1,2,1,24,0,2,8,147,0,1,5,1,2,4,4,26,2
542211,Panoší Újezd,235,160,159,24,0,0,16,0,7,18,2,1,1,0,0,11,0,0,4,45,0,0,8,0,0,2,0,19,1
544248,Pavlíkov,863,545,543,38,3,0,43,1,43,68,8,4,9,0,0,53,0,1,12,196,1,0,6,0,3,1,2,50,1
542229,Petrovice,234,136,136,11,0,0,8,0,4,13,1,0,1,0,0,11,0,0,3,52,0,0,4,0,0,0,0,28,0
542237,Pochvalov,220,139,139,3,0,0,11,0,19,22,1,1,4,1,0,12,0,1,3,48,0,0,0,0,0,1,0,12,0
598577,Přerubenice,60,44,44,7,0,1,6,0,8,4,0,0,0,0,0,5,0,0,3,8,0,0,0,0,0,0,0,2,0
542253,Příčina,159,100,99,5,0,0,6,0,11,18,0,0,0,0,0,5,0,0,4,41,0,0,1,0,0,0,0,8,0
565261,Přílepy,156,92,92,8,0,0,8,1,10,4,0,1,11,0,0,4,0,1,2,33,0,0,0,0,0,0,1,8,0
542270,Pšovlky,228,152,152,19,0,0,13,0,8,13,2,0,7,0,0,10,0,0,2,54,0,0,2,0,0,0,0,21,1
542288,Pustověty,109,72,72,9,0,0,1,0,12,13,1,1,0,0,0,1,0,0,4,24,0,0,0,0,0,0,0,6,0
599760,Račice,131,100,100,13,0,0,11,0,8,12,2,1,0,0,1,16,0,0,4,22,0,1,3,0,0,0,0,6,0
541656,Rakovník,12631,7493,7446,839,10,0,612,12,457,657,83,46,133,7,10,918,3,3,354,2291,4,7,171,4,56,7,9,735,18
598526,Roztoky,870,485,483,38,0,0,41,0,41,59,8,3,6,0,0,59,1,0,30,141,0,0,9,0,1,0,0,44,2
542326,Ruda,585,328,328,21,2,0,37,0,21,31,3,4,5,0,0,30,0,0,18,114,0,0,10,2,4,0,0,26,0
542334,Rynholec,749,430,428,35,0,0,52,2,23,54,0,6,7,1,0,44,1,0,23,130,1,0,8,0,9,1,1,29,1
565504,Řeřichy,88,54,54,5,0,0,6,0,3,5,1,0,2,0,0,2,0,0,1,14,0,0,1,0,0,0,0,13,1
542351,Řevničov,1128,702,698,40,0,0,58,1,56,31,1,3,13,1,0,73,0,0,30,248,0,0,4,0,4,0,0,126,9
542369,Senec,201,138,137,27,0,0,19,0,5,12,1,0,2,0,0,16,0,0,5,30,0,1,0,0,1,1,0,15,2
542377,Senomaty,939,606,603,64,1,2,59,0,52,57,4,4,8,0,1,48,0,0,21,189,0,2,9,0,2,1,1,77,1
542385,Skryje,145,97,97,15,0,0,6,0,6,7,2,2,0,0,0,16,0,0,6,25,0,0,3,0,0,0,0,6,3
542415,Slabce,600,358,356,31,0,0,27,1,23,52,2,1,9,0,0,26,0,0,11,120,0,1,4,0,3,0,0,44,1
565407,Smilovice,46,27,27,2,0,0,6,0,6,2,0,0,0,0,0,1,0,0,0,6,0,1,2,0,0,0,0,1,0
542431,Srbeč,268,121,121,4,0,0,21,0,6,14,2,0,2,0,0,2,0,0,7,44,0,0,2,0,0,0,1,16,0
542458,Svojetín,259,140,140,7,0,0,14,0,12,11,0,5,1,0,0,21,0,0,8,35,0,0,0,0,1,0,0,25,0
542466,Sýkořice,442,291,290,24,0,0,15,0,16,33,2,1,16,0,1,40,0,0,20,80,0,0,2,1,5,0,1,32,1
542474,Šanov,413,250,250,21,2,0,26,0,15,32,3,2,3,0,1,22,0,0,24,62,0,0,1,0,1,0,0,35,0
598496,Šípy,139,101,100,8,0,0,14,0,8,5,1,4,2,0,0,7,0,0,3,36,0,2,1,1,2,0,0,6,0
565326,Švihov,37,29,29,5,0,0,1,0,0,8,0,0,0,0,0,5,0,0,1,4,0,0,0,0,2,0,0,3,0
542504,Třeboc,117,82,79,6,0,0,4,0,10,22,1,0,0,0,0,2,0,0,0,23,0,0,0,0,1,0,2,8,0
542512,Třtice,407,235,233,26,0,1,8,0,15,25,4,1,1,0,0,22,0,0,6,91,0,0,6,0,1,1,1,24,0
565512,Václavy,53,36,36,0,0,0,1,0,1,2,0,0,0,0,0,5,0,0,2,14,0,1,0,0,0,0,1,8,1
542563,Velká Buková,227,137,134,10,0,0,9,0,5,13,0,0,2,0,0,18,0,0,7,47,0,0,5,0,1,2,2,13,0
529699,Velká Chmelištná,59,45,45,0,1,0,0,0,1,7,0,0,0,0,0,3,0,0,3,27,0,0,1,0,0,0,0,2,0
565130,Všesulov,92,50,50,6,1,0,3,0,4,13,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,1,0
542598,Všetaty,253,142,142,5,0,0,17,0,7,12,4,1,0,0,0,15,0,0,9,49,0,0,2,0,2,0,0,19,0
542601,Zavidov,230,175,174,14,0,0,20,0,11,20,0,0,1,0,0,11,1,0,6,60,0,0,0,0,0,1,0,29,0
542610,Zbečno,459,322,321,24,0,0,31,0,17,30,2,2,7,0,0,58,0,0,22,97,0,1,6,0,3,0,0,21,0
598518,Žďár,75,42,42,2,0,0,0,0,3,18,0,0,0,0,0,3,0,0,1,11,0,0,0,0,0,0,0,3,1
